 TIME                    	KJ                       	KWh                      	Schlafen1                	Schlafen2                	Wohnen                   	Bad                      
0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00
1.0000000000000000E+00	3.0498476494952300E+03	8.4717990263756500E-01	2.5581003962472700E-01	2.4202529177330000E-01	3.1305103067930100E-01	3.6293540560236600E-02
2.0000000000000000E+00	8.8013295485058200E+03	2.4448137634738400E+00	1.1455968531390700E+00	9.5896595902767300E-01	2.8956164455928400E-01	5.0689306747816900E-02
3.0000000000000000E+00	1.2241838925104600E+04	3.4005108125290600E+00	1.6693841395024700E+00	1.4254157070182900E+00	2.4239590438596700E-01	6.3315061622335200E-02
4.0000000000000000E+00	1.0473739873955200E+04	2.9093721872097700E+00	1.3088311800268500E+00	1.2181381631020400E+00	3.1049012826515500E-01	7.1912715815725400E-02
5.0000000000000000E+00	9.5480025043855300E+03	2.6522229178848700E+00	1.1259041811676700E+00	1.0913041130959700E+00	3.5715851197752200E-01	7.7856111643708800E-02
6.0000000000000000E+00	9.0804070042821500E+03	2.5223352789672600E+00	1.0293533822984900E+00	1.0147673921876300E+00	3.9552371306735000E-01	8.2690791413803300E-02
7.0000000000000000E+00	1.3558315028422200E+04	3.7661986190061800E+00	9.3280662631799500E-01	9.2360497166850200E-01	1.6225773926827500E+00	2.8720962833692800E-01
8.0000000000000000E+00	1.5685639837357600E+04	4.3571221770437800E+00	8.5740027920125900E-01	8.4817679008970000E-01	2.2470472756218700E+00	4.0449783213095200E-01
9.0000000000000000E+00	8.5927609324239400E+03	2.3868780367844300E+00	4.1689871320669600E-02	1.9148603522093300E-01	1.8426343557280600E+00	3.1106777451476500E-01
1.0000000000000000E+01	9.3229203928011900E+03	2.5897001091114400E+00	3.4418957315942500E-01	3.8815939346224900E-01	1.6060468629964400E+00	2.5130427949332800E-01
1.1000000000000000E+01	1.2814395358588000E+04	3.5595542662744300E+00	1.1386832212829100E+00	9.8397577693373600E-01	1.2283477021086300E+00	2.0854756594915400E-01
1.2000000000000000E+01	1.0824594439040600E+04	3.0068317886223900E+00	8.9780912722628100E-01	8.4451110664020500E-01	1.0858027513117100E+00	1.7870880344419300E-01
1.3000000000000000E+01	4.7280922118525900E+03	1.3133589477368300E+00	0.0000000000000000E+00	1.1866657947930000E-01	1.0374092499455300E+00	1.5728311831199900E-01
1.4000000000000000E+01	4.3759825558618900E+03	1.2155507099616300E+00	0.0000000000000000E+00	0.0000000000000000E+00	1.0719454300830500E+00	1.4360527987858500E-01
1.5000000000000000E+01	9.5540816958689900E+02	2.6539115821858300E-01	1.4189281685340800E-01	1.2349834136517500E-01	0.0000000000000000E+00	0.0000000000000000E+00
1.6000000000000000E+01	5.9787792746909900E+01	1.6607720207475000E-02	0.0000000000000000E+00	1.6607720207475000E-02	0.0000000000000000E+00	0.0000000000000000E+00
1.7000000000000000E+01	2.2095131805389400E+03	6.1375366126081700E-01	2.1323781863121800E-01	1.8635559347351100E-01	2.1416024915608800E-01	0.0000000000000000E+00
1.8000000000000000E+01	1.1316248951460900E+04	3.1434024865169300E+00	1.0328861649800200E+00	9.1020228448720700E-01	1.0886654062799000E+00	1.1164863076980100E-01
1.9000000000000000E+01	1.2740323184018000E+04	3.5389786622272200E+00	7.4829584806541600E-01	6.9953565612292000E-01	1.8251228947010300E+00	2.6602426333785000E-01
2.0000000000000000E+01	6.9524185073310300E+03	1.9312273631475100E+00	0.0000000000000000E+00	8.8800326230078400E-02	1.6240846246707800E+00	2.1834241224665100E-01
2.1000000000000000E+01	7.3369337003348200E+03	2.0380371389819000E+00	1.9518582426262700E-01	2.0560878269226300E-01	1.4472241589085400E+00	1.9001837311846500E-01
2.2000000000000000E+01	3.1116832928611400E+03	8.6435647023920500E-01	2.9325572803462700E-01	3.1704451830499700E-01	2.5405622389958000E-01	0.0000000000000000E+00
2.3000000000000000E+01	2.8302946645635000E+03	7.8619296237874900E-01	3.9366983650194700E-01	3.9252312587680200E-01	0.0000000000000000E+00	0.0000000000000000E+00
2.4000000000000000E+01	8.4128238920146200E+03	2.3368955255596200E+00	3.9666093158471600E-01	3.8554075211492900E-01	1.3544051190106900E+00	2.0028872284928000E-01
2.5000000000000000E+01	1.0585868804910500E+04	2.9405191124751400E+00	1.2385941092352100E+00	1.0637267979570400E+00	6.0918599193954100E-01	2.9012213343349700E-02
2.6000000000000000E+01	1.1677186998105500E+04	3.2436630550293000E+00	1.7346047175066100E+00	1.5090583375226900E+00	0.0000000000000000E+00	0.0000000000000000E+00
2.7000000000000000E+01	9.9658450457939800E+03	2.7682902904983300E+00	1.3341818030948500E+00	1.2638121781459500E+00	1.4526627013991400E-01	2.5030039117613000E-02
2.8000000000000000E+01	8.1522409298498600E+03	2.2645113694027400E+00	1.1397678502549000E+00	1.1247435191478400E+00	0.0000000000000000E+00	0.0000000000000000E+00
2.9000000000000000E+01	8.0595111634679800E+03	2.2387531009633300E+00	1.0225738019526900E+00	1.0260497738651600E+00	1.6189584471958600E-01	2.8233680425896700E-02
3.0000000000000000E+01	7.8753704299459900E+03	2.1876028972072200E+00	9.5482177736340600E-01	9.6211436209204300E-01	2.6699631045811800E-01	3.6704472936530200E-03
3.1000000000000000E+01	1.2543508154833100E+04	3.4843078207869700E+00	8.7188364170995700E-01	8.7697507212962300E-01	1.5012086807930000E+00	2.3424042615438700E-01
3.2000000000000000E+01	1.4745979165259900E+04	4.0961053236832900E+00	8.0625572124092800E-01	8.0726964061784900E-01	2.1148660378722000E+00	3.6771392395231700E-01
3.3000000000000000E+01	7.8798096968854800E+03	2.1888360269126300E+00	0.0000000000000000E+00	1.5708690776523900E-01	1.7464189020708800E+00	2.8533021707651300E-01
3.4000000000000000E+01	1.9515960832705500E+03	5.4211002313070700E-01	0.0000000000000000E+00	0.0000000000000000E+00	5.0693941037235000E-01	3.5170612758357000E-02
3.5000000000000000E+01	1.4343086849457000E+03	3.9841907915158300E-01	2.2068837015999400E-01	1.7773070899158900E-01	0.0000000000000000E+00	0.0000000000000000E+00
3.6000000000000000E+01	1.6333892041832200E+03	4.5371922338422900E-01	2.1772199431263100E-02	1.3368039218413000E-01	2.7238798338320400E-01	2.5878648385631000E-02
3.7000000000000000E+01	6.7332567667723700E+03	1.8703491018812100E+00	1.7986567930248500E-01	2.1132481774320800E-01	1.3270000780595600E+00	1.5215852677596000E-01
3.8000000000000000E+01	1.0210775965168300E+04	2.8363266569912000E+00	2.3378785053390200E-01	2.3436358055675500E-01	2.0553907746006400E+00	3.1278445129990200E-01
3.9000000000000000E+01	4.6902651675507100E+03	1.3028514354307500E+00	3.3725285253304600E-01	3.2507323888992300E-01	5.9536319921143000E-01	4.5162144796352200E-02
4.0000000000000000E+01	2.9595424035617300E+03	8.2209511210048000E-01	4.2036448722773600E-01	4.0173062487274300E-01	0.0000000000000000E+00	0.0000000000000000E+00
4.1000000000000000E+01	1.3607455545506300E+04	3.7798487626406400E+00	1.2106534512153600E+00	1.0285519395977300E+00	1.3123050393993100E+00	2.2833833242824800E-01
4.2000000000000000E+01	1.8473077617045100E+04	5.1314104491792000E+00	1.6467743430032900E+00	1.4145861884034800E+00	1.7959490065560200E+00	2.7410091121640500E-01
4.3000000000000000E+01	9.8771823717593900E+03	2.7436617699331700E+00	4.5845086175485600E-01	5.4227107370488700E-01	1.5177127345001000E+00	2.2522709997332100E-01
4.4000000000000000E+01	5.9782038879309600E+03	1.6606121910919300E+00	0.0000000000000000E+00	0.0000000000000000E+00	1.4646823076871600E+00	1.9592988340477400E-01
4.5000000000000000E+01	6.9630081842519900E+03	1.9341689400700000E+00	2.0709162606617000E-01	1.6552279584517600E-01	1.3834084461301900E+00	1.7814607202846200E-01
4.6000000000000000E+01	7.2061058224877500E+03	2.0016960618021500E+00	1.8358033525926400E-01	2.7144526185066800E-01	1.3793071100369900E+00	1.6736335465523200E-01
4.7000000000000000E+01	7.9650555290406100E+03	2.2125154247335000E+00	3.2019071010207500E-01	3.4700234441931500E-01	1.3839603576391600E+00	1.6136201257295300E-01
4.8000000000000000E+01	8.6006717179244100E+03	2.3890754772012200E+00	4.0675364149030700E-01	4.0619479866968900E-01	1.4171340618540600E+00	1.5899297518716900E-01
4.9000000000000000E+01	9.4853344697603200E+03	2.6348151304889800E+00	1.3073483054685400E+00	1.1334644381758200E+00	1.9400238684461700E-01	0.0000000000000000E+00
5.0000000000000000E+01	1.2310677117632800E+04	3.4196325326757800E+00	1.8246648230090000E+00	1.5949677096667800E+00	0.0000000000000000E+00	0.0000000000000000E+00
5.1000000000000000E+01	1.0981826366881700E+04	3.0505073241338000E+00	1.4489880893127700E+00	1.3716711803043100E+00	2.2984805451672400E-01	0.0000000000000000E+00
5.2000000000000000E+01	9.2026885896686100E+03	2.5563023860190600E+00	1.2809047905706500E+00	1.2571785615589900E+00	1.8219033889424100E-02	0.0000000000000000E+00
5.3000000000000000E+01	9.5988054372225400E+03	2.6663348436729300E+00	1.1841706763000300E+00	1.1777170819702300E+00	2.6951446853722600E-01	3.4932616865443700E-02
5.4000000000000000E+01	9.8047579294909000E+03	2.7235438693030300E+00	1.1374248460683200E+00	1.1339643258630400E+00	4.4771793171437800E-01	4.4367656572834700E-03
5.5000000000000000E+01	1.4798051861253600E+04	4.1105699614593300E+00	1.0733359438071000E+00	1.0668031274291000E+00	1.7235596349458700E+00	2.4687125527725600E-01
5.6000000000000000E+01	1.7203820203378300E+04	4.7788389453828500E+00	1.0201529789130100E+00	1.0092918884059400E+00	2.3614499891664500E+00	3.8794408889745500E-01
5.7000000000000000E+01	9.9782960683515100E+03	2.7717489078754200E+00	1.4386812184532500E-01	3.6255186159865000E-01	1.9649405953059400E+00	3.0038832912550400E-01
5.8000000000000000E+01	2.0251130101257000E+03	5.6253139170158400E-01	0.0000000000000000E+00	0.0000000000000000E+00	5.5748169297984300E-01	5.0496987217408900E-03
5.9000000000000000E+01	1.0467225874696400E+03	2.9075627429712300E-01	5.3026989706589600E-02	2.3772928459053400E-01	0.0000000000000000E+00	0.0000000000000000E+00
6.0000000000000000E+01	1.9582965303235000E+03	5.4397125842319300E-01	0.0000000000000000E+00	3.2312419908518900E-01	2.1122166386908800E-01	9.6253954689160900E-03
6.1000000000000000E+01	6.6124950742241300E+03	1.8368041872844800E+00	1.6070801607580600E-01	3.3111123838117200E-01	1.2454383275861200E+00	9.9546605241382900E-02
6.2000000000000000E+01	8.4045060344397500E+03	2.3345850095666000E+00	8.9008829700028000E-03	2.1031440237733100E-01	1.8354732085628000E+00	2.7989651565646400E-01
6.3000000000000000E+01	1.5008578303200300E+03	4.1690495286667500E-01	2.1340968450791300E-01	8.1817045471992200E-02	9.5767588383089100E-02	2.5910634503681200E-02
6.4000000000000000E+01	1.2346726102084100E+03	3.4296461394678200E-01	3.3658075733678800E-01	6.3838566099941200E-03	0.0000000000000000E+00	0.0000000000000000E+00
6.5000000000000000E+01	1.2816884887756100E+04	3.5602458021544600E+00	1.1760806556003200E+00	7.9667221551308300E-01	1.3572508716341700E+00	2.3024205940688900E-01
6.6000000000000000E+01	1.6815790962663700E+04	4.6710530451843600E+00	1.6705131773213600E+00	1.2922004373952400E+00	1.4370932993784300E+00	2.7124613108932900E-01
6.7000000000000000E+01	9.2761464980220000E+03	2.5767073605616700E+00	5.0968005854944300E-01	4.8712425682328800E-01	1.3504008123793500E+00	2.2950223280958500E-01
6.8000000000000000E+01	5.8067527939346400E+03	1.6129868872040700E+00	0.0000000000000000E+00	0.0000000000000000E+00	1.4075987701939100E+00	2.0538811701015700E-01
6.9000000000000000E+01	7.3370295342501900E+03	2.0380637595139400E+00	2.5840950544023700E-01	1.9546002058919900E-01	1.3924409494490100E+00	1.9175328403549400E-01
7.0000000000000000E+01	8.1030436782032000E+03	2.2508454661675600E+00	3.1692855047590800E-01	3.1996315236534800E-01	1.4293908653005600E+00	1.8456289802574100E-01
7.1000000000000000E+01	9.0877325585434700E+03	2.5243701551509600E+00	4.5282584898330500E-01	4.1901564704291500E-01	1.4706784475480100E+00	1.8185021157673300E-01
7.2000000000000000E+01	9.9158545940638000E+03	2.7544040539066100E+00	5.4489769475688500E-01	4.9699250414402200E-01	1.5305258688688600E+00	1.8198798613684400E-01
7.3000000000000000E+01	1.0905714589838300E+04	3.0293651638439700E+00	1.4524899788528400E+00	1.2400801942333900E+00	3.3679499075774500E-01	0.0000000000000000E+00
7.4000000000000000E+01	1.3324566554568700E+04	3.7012684873801900E+00	1.9815451203957500E+00	1.7197233669844400E+00	0.0000000000000000E+00	0.0000000000000000E+00
7.5000000000000000E+01	1.2408137106589100E+04	3.4467047518303000E+00	1.6087303677433800E+00	1.5044093626549200E+00	3.0477910994910700E-01	2.8785911482896400E-02
7.6000000000000000E+01	1.1109199859155800E+04	3.0858888497655100E+00	1.4384158418000000E+00	1.3922010273284400E+00	2.5527198063707300E-01	0.0000000000000000E+00
7.7000000000000000E+01	1.1505339830726800E+04	3.1959277307574400E+00	1.3425372642585900E+00	1.3172759232483500E+00	4.8713199900011900E-01	4.8982544250377000E-02
7.8000000000000000E+01	1.1749213786283200E+04	3.2636704961897800E+00	1.2939379113025900E+00	1.2745585309434900E+00	6.4067561760187300E-01	5.4498436341834600E-02
7.9000000000000000E+01	1.6669331005661500E+04	4.6303697237948600E+00	1.2265377385205500E+00	1.2064712839511300E+00	1.9096015488514900E+00	2.8775915247169100E-01
8.0000000000000000E+01	1.9020859624809000E+04	5.2835721180025000E+00	1.1692574410922200E+00	1.1474953955462800E+00	2.5433485896497600E+00	4.2347069171424700E-01
8.1000000000000000E+01	1.1396889437387100E+04	3.1658026214964100E+00	2.2205502621942500E-01	5.0153075312314300E-01	2.1183830282876100E+00	3.2383381386623700E-01
8.2000000000000000E+01	3.2536053420135500E+03	9.0377926167043000E-01	0.0000000000000000E+00	1.2343035135785600E-01	7.4950047876262800E-01	3.0848431549946300E-02
